"id","code","name","calories","protein","carbohydrates","fats","total_sugars","cholesterol","sodium","dietary_fiber","iron","calcium"
9234,53200148,"אוזני המן על בסיס חמאה, במילוי פרג",453.0682678,6.552422047,50.28863907,24.097435,23.56668091,93.09038544,77.25505829,1.829003215,1.604668736,162.0876312
9235,53200118,"אוזני המן על בסיס מרגרינה, במילוי תמרים ואגוזים",430.1752625,6.088498592,54.46552658,20.14798927,27.40009689,40.04884338,203.2522583,2.530454159,0.90340054,33.29447937
9236,52300158,"אוזני המן על בסיס חמאה, במילוי תמרים ואגוזים",478.5376587,6.208207607,54.5852356,25.41518021,27.51980591,98.94561005,71.57250214,2.530454159,0.90340054,38.79721451
9237,53200138,"אוזני המן על בסיס מרגרינה, במילוי שוקולד",457.3241882,5.808848858,56.52398682,22.05943108,27.26130676,42.68115997,230.7572937,1.801800013,0.952337742,22.36985207
9238,52300168,"אוזני המן על בסיס חמאה, במילוי שוקולד",508.8653259,5.936425686,56.65156174,27.67282104,27.38888359,105.4490738,90.42253876,1.801800013,0.952337742,28.2342701
9239,58117388,"קובה בורגול מטוגן, נבלוסיה, עם בשר עגל, ללא שמן לטיגון",263.3104858,11.86651516,30.03375053,8.673089027,1.361271024,32.73230362,464.6756592,6.993619919,1.543485284,26.97965431
9240,58117338,"קובה בורגול מטוגן, נבלוסיה, עם בשר כבש ללא שמן לטיגון",274.8942261,11.3700695,30.53019714,9.996943474,1.361271024,10.32043934,504.3912964,6.993619919,1.8244735,26.08969307
9241,57602118,"דייסת שיבולת שועל, קוואקר, על בסיס מים",45.96725464,1.594905972,6.986052036,0.790782332,0.120072775,0,7.622801781,1.224984884,0.517101288,13.7295332
9242,58120228,"סיגרים תפוחי אדמה, מטוגנים בשמן קנולה, מהתעשיה",261.1933289,3.799900293,32.86913681,11.48046684,0.370490283,0,94.99751282,0,0,0
9243,58121038,"פנקייק מתערובת מוכנה עם שמן קנולה",155.7711945,2.757916212,22.55362511,5.903983593,8.886618614,15.93462658,240.2298279,0,0.001378958,6.251276493
9244,58121048,"פנקייק ביתי עם שמן קנולה",218.1985016,7.288653851,27.44195557,8.237769127,8.794021606,93.09374237,216.7100983,0.677492678,0.753745973,86.50746918
9245,58121068,"כופתאות קמח מצה עם ביצה ושמן קנולה, קניידלך",402.8879395,11.49198341,36.74388123,22.45318985,3.921034575,182.7931061,486.0344849,1.357758641,2.282198191,40.49353409
9246,58124368,"בורקס בצק עלים במילוי גבינה בולגרית, עם שמן קנולה",373.4944153,10.4119482,23.29673004,25.71918488,0.154682145,125.515152,761.0881348,1.194700956,0.95509398,93.53433228
9247,58124378,"בורקס בצק פריך במילוי גבינת כבשים מלוחה וחמאה",445.6924133,8.655719757,27.09221649,32.7514801,1.762799501,149.600647,537.8218384,1.600108266,1.008718014,142.1131744
9248,58124388,"בורקס בצק פריך במילוי תפוחי אדמה, עם חמאה",408.2510986,5.356626511,30.59614563,28.50217438,0.614326239,104.4988403,60.73946762,1.331393957,0.640657246,21.51900673
9249,58125238,"פאי בצל עם חמאה",307.0185547,4.801684856,23.16629791,20.94928551,2.549674273,89.47093964,215.0242004,1.411261916,0.567313194,36.02581024
9250,58125248,"פאי בצל וגבינה עם חמאה",305.8500366,6.741415977,20.92143059,21.04801941,2.325588226,87.93238831,283.220459,1.272934198,0.533475041,97.07633209
9257,56207168,"מוג'רביה, קוסקוס עם בשר עוף וירקות",94.49645996,4.818846226,5.553641796,5.449889183,1.506382823,20.21702385,218.3426819,1.341709733,0.452257216,20.09405327
9258,71101018,"תפוחי אדמה, אפויים ,ללא קליפה, עם רוטב סויה ושמן קנולה",139.6301422,2.6434021,18.65426826,6.362971783,1.216173887,0,602.8084717,2.298610449,0.941469014,15.52082348
9259,71101028,"תפוחי אדמה, אפויים בשמן קנולה עם קליפה",144.7623291,2.780269146,21.07623291,4.854259968,1.311659217,0,310.5381165,2.466367722,1.210762382,16.81614304
9260,71101038,"תפוחי אדמה, אפויים בשמן זית עם קליפה",144.7623291,2.780269146,21.07623291,4.854259968,1.311659217,0,310.6322937,2.466367722,1.237130046,16.86322784
9261,71103038,"תפוחי אדמה, מבושלים, ללא קליפה, עם פטריות ובצל ושמן קנולה",114.2988968,2.357778311,14.69939327,5.385402203,1.42343092,0,186.05867,2.077566624,0.736480176,12.09518242
9262,72125138,"תרד מבושל, מילוי לכיסוני בצק, עם שמן קנולה",98.59945679,3.845940351,3.309813976,7.540209293,1.368224382,43.2902565,311.5248718,2.003838301,2.21312356,85.11667633
9263,72125218,"לביבות תרד מטוגנות בשמן קנולה",229.8577423,7.668280125,18.51023293,13.06605053,1.571231365,45.41825867,974.4458618,4.030997753,2.162376881,139.4891663
9264,73102228,"גזר אפוי עם שמן זית",102.7714691,1.016349077,7.40951252,6.819374084,5.180101395,0,244.9641571,3.059975624,0.366016805,36.23448181
9265,73102218,"גזר מבושל מתוק, צימעס, עם שמן קנולה",101.1924973,0.959090173,10.1865139,5.586912155,7.914615631,0,457.7968445,2.673569918,0.276014268,30.9847641
9267,71702078,"פשטידת תפוחי אדמה ואפונה עם שמן קנולה",134.904953,4.074165821,12.11440182,6.980778694,1.707293868,55.94501495,425.9989624,2.41085434,0.760616302,21.11393929
9268,58127488,"בצק עלים חמאה, לא אפוי",411.9460754,4.7257061,32.10943222,28.78611755,0.22086063,80.15299988,258.808136,1.174337149,0.514762223,17.15656662
9269,56112618,"אטריות/פסטה, חיטה, מבושלות בשמן קנולה",171.9759979,6.009972572,30.13333321,1.883287191,0.584302843,0,242.0683289,1.87811625,1.325115442,7.303785801
